# actor_table.tsv -- source of truth for data/procs.bin (regenerate with tools/gen_procs_bin.ps1)
#
# Columns (TAB-separated): id_hex <TAB> proc_name <TAB> friendly_name
#   id_hex      = TPHD runtime fpcNm proc id (from the rpx profile table @ 0x100034a0)
#   proc_name   = engine module name (d_a_*), authoritative
#   friendly_name = human name, auto-seeded from dusklight @brief; EDIT FREELY
# Lines starting with # are ignored. friendly_name may be blank.
0x0015	d_a_alldie	
0x0017	d_a_obj_swpush	Push Switch
0x0018	d_a_obj_swpush2	Push Switch 2
0x0019	d_a_obj_swpush5	Push Switch 5
0x001A	d_a_tag_gstart	
0x001B	d_a_no_chg_room	
0x001C	d_a_obj_lv6elevta	Temple of Time Elevator
0x001D	d_a_obj_so	Monkey Cage (Saru Ori)
0x001E	d_a_obj_movebox	Multi-Purpose Moving Box
0x001F	d_a_obj_swturn	Arbiter's Ground Turn Switch
0x0020	d_a_obj_lv6swturn	Temple of Time Turn Switch
0x0021	d_a_obj_sekizoa	Stone Guardian Statue(s)
0x0022	d_a_obj_gra2	Goron A
0x0023	d_a_tag_gra	
0x0024	d_a_tag_yami	
0x0025	d_a_obj_ladder	Ladder
0x0026	d_a_obj_brakeeff	???
0x0027	d_a_obj_fmobj	Fyrus Object?
0x0028	d_a_obj_lbox	L - Box (Large Box?)
0x0029	d_a_obj_web0	Wall Web
0x002A	d_a_obj_web1	Floor Web
0x002B	d_a_obj_cb	Castle Block?
0x002C	d_a_obj_maki	Stick Bundle?
0x002D	d_a_obj_brg	Bridge
0x002E	d_a_obj_gb	Ganondorf Barrier
0x002F	d_a_obj_gm	Gohma Egg Container
0x0030	d_a_obj_toby	Fyer (Object)
0x0031	d_a_obj_tp	Shadow Beast Barrier Pole (Twilight Pole)
0x0032	d_a_obj_treesh	Conifer Tree
0x0033	d_a_obj_zdoor	Zelda Door
0x0034	d_a_obj_pillar	Forest Temple Totem Pole
0x0035	d_a_obj_cdoor	Chain Door
0x0036	d_a_obj_groundwater	Ground Water
0x0037	d_a_obj_rotBridge	Rotating Bridge
0x0038	d_a_obj_magLift	Magnetic Lift
0x0039	d_a_obj_magLiftRot	Rotating Magnetic Lift
0x003A	d_a_obj_lv1Candle00	Forest Temple Torch 00
0x003B	d_a_obj_lv1Candle01	Forest Temple Torch 01
0x003C	d_a_obj_TvCdlst	Ordon Torch Stand
0x003D	d_a_obj_hsTarget	Clawshot Target
0x003E	d_a_obj_heavySw	Heavy Switch
0x003F	d_a_obj_goGate	Goron Gate
0x0040	d_a_obj_taFence	Fench/Mesh?
0x0041	d_a_obj_saidan	Altar
0x0042	d_a_obj_spinLift	Spinner Lift
0x0043	d_a_obj_bmWindow	Boomerang Window?
0x0044	d_a_obj_rfHole	(Kakariko?) Roof Hole
0x0045	d_a_obj_waterPillar	Water Column/Pillar
0x0046	d_a_obj_syRock	Stalactite Rock
0x0047	d_a_obj_bsGate	Boss Gate
0x0048	d_a_obj_amiShutter	Drain Gate
0x0049	d_a_obj_waterGate	Water Gate
0x004A	d_a_obj_lv2Candle	Goron Mines Torch
0x004B	d_a_obj_togeTrap	Blade Trap
0x004C	d_a_obj_rotTrap	Rotating Skull Trap
0x004D	d_a_obj_sWallShutter	Shutter Wall (Switch)
0x004E	d_a_obj_lv5IceWall	Snowpeak Ruins Ice Wall
0x004F	d_a_obj_lv5SwIce	Snowpeak Ruins Ice Switch
0x0050	d_a_obj_lv5FloorBoard	Snowpeak Ruins Destructable Floor
0x0051	d_a_obj_Turara	Icicle
0x0052	d_a_obj_twGate	Twilight Gate (Wall?)
0x0053	d_a_obj_digholl	Wolf Dig Place (Passage)
0x0054	d_a_obj_digplace	Wolf Dig Place (Treasure)
0x0055	d_a_obj_testcube	
0x0056	d_a_obj_kshutter	Lakebed Temple Boss Door
0x0057	d_a_npc_coach	Coach
0x0058	d_a_npc_theB	Telma B
0x0059	d_a_coach_fire	Coach Fire
0x005A	d_a_coach_2D	Coach 2D
0x005B	d_a_balloon_2D	???
0x005C	d_a_skip_2D	???
0x005D	d_a_obj_mvstair	Moving Stairs
0x005E	d_a_obj_cowdoor	Ordon Ranch Stable Door
0x005F	d_a_obj_swpropeller	Boomerang Switch
0x0060	d_a_obj_bmshutter	Boomerang Shutter
0x0061	d_a_npc_ks	Monkey NPC (Kozaru)
0x0062	d_a_obj_hfuta	Crawling?
0x0063	d_a_obj_bkdoor	Ranch Door
0x0064	d_a_obj_cboard	Clear Board
0x0065	d_a_obj_mgate	Ordon Spring Gate
0x0066	d_a_obj_ikada	Raft
0x0067	d_a_obj_ice_l	Ice (Large)
0x0068	d_a_obj_ice_s	Ice (Small)
0x0069	d_a_obj_enemy_create	Enemy Spawner
0x006A	d_a_obj_bhbridge	BH Bridge?
0x006B	d_a_obj_kaisou	Seaweed
0x006C	d_a_obj_hhashi	Pillar
0x006D	d_a_obj_bhashi	Pillar
0x006E	d_a_obj_octhashi	Morpheel Pillar
0x006F	d_a_obj_thashi	T Pillar
0x0070	d_a_obj_crvgate	Caravan Gate
0x0071	d_a_obj_crvfence	Caravan Fence
0x0072	d_a_obj_crvhahen	Bulblin Camp Caraven Wooden Fence Fragments
0x0073	d_a_obj_crvsteel	Caravan Steel
0x0074	d_a_obj_crvlh_up	Bulblin Tower (Upper Half)
0x0075	d_a_obj_crvlh_down	Bulblin Tower (Lower Half)
0x0076	d_a_obj_riverrock	(Zora?) River Rock
0x0077	d_a_obj_dust	Dust
0x0078	d_a_obj_ita	Plank
0x0079	d_a_obj_window	Destructable Kakariko Village Window
0x007A	d_a_obj_metalbox	Metal Box
0x007B	d_a_obj_bbox	B Box
0x007C	d_a_obj_msima	Dangoro Boss Stage (Magnetic Island)
0x007D	d_a_obj_myogan	???
0x007E	d_a_b_zant_sima	Zant (Goron Mines Phase)
0x007F	d_a_obj_cblock	Castle Block?
0x0080	d_a_obj_cwall	Chain Wall
0x0081	d_a_obj_kgate	Coro Gate
0x0082	d_a_obj_rgate	Rider Gate
0x0083	d_a_obj_onsen	Hot Spring
0x0084	d_a_obj_chest	Cabinet
0x0085	d_a_obj_bemos	Beamos (Movable Object)
0x0086	d_a_obj_rope_bridge	Small / Big Rope Bridge
0x0087	d_a_obj_well_cover	Graveyard Well Cover
0x0088	d_a_obj_grave_stone	Zora Gravestone
0x0089	d_a_obj_zra_rock	Zora Rock
0x008A	d_a_obj_gra_rock	Goron Entombing Rock
0x008B	d_a_obj_grz_rock	Hidden Village Rockslide
0x008C	d_a_obj_graWall	Goron Wall?
0x008D	d_a_obj_onsenFire	Hot Spring Fire
0x008E	d_a_obj_lv6bemos	Temple of Time Beamos (Unused)
0x008F	d_a_obj_lv6bemos2	Temple of Time Beamos
0x0090	d_a_obj_barDesk	Kakariko House Desk
0x0091	d_a_obj_digsnow	Wolf Dig Place (Snow)
0x0092	d_a_obj_Y_taihou	Snowpeak Ruins Cannon
0x0093	d_a_obj_dmelevator	Death Mountain Elevator
0x0094	d_a_obj_lv6TogeRoll	Temple of Time Spike Roller
0x0095	d_a_obj_lv6TogeTrap	Temple of Time Spiked Trap
0x0096	d_a_obj_lv6Tenbin	Temple of Time Scale
0x0097	d_a_obj_lv6SwGate	Temple of Time Switch Gate
0x0098	d_a_obj_lv6Lblock	Temple of Time L Block
0x0099	d_a_obj_lv6ChangeGate	Temple of Time Change Block?
0x009A	d_a_obj_lv6FurikoTrap	Temple of Time Pendulum Trap
0x009B	d_a_obj_lv6SzGate	Temple of Time Stone Statue Gate
0x009C	d_a_obj_lv4EdShutter	Arbiter's Grounds Death Sword Gate
0x009D	d_a_obj_lv4Gate	Arbiter's Grounds Gate
0x009E	d_a_obj_lv4PoGate	Arbiter's Grounds Poe Gate
0x009F	d_a_obj_lv4SlideWall	Arbiter's Grounds Sliding Wall
0x00A0	d_a_obj_lv4HsTarget	Arbiter's Grounds Clawshot Target
0x00A1	d_a_obj_lv7PropellerY	City in the Sky Propeller
0x00A2	d_a_obj_lv7BsGate	City in the Sky Boss Door
0x00A3	d_a_obj_lv8OptiLift	Palace of Twilight Optilift
0x00A4	d_a_obj_lv8KekkaiTrap	Palace of Twilight Barrier Trap
0x00A5	d_a_obj_lv8Lift	Palace of Twilight Platform Lift
0x00A6	d_a_obj_lv8UdFloor	Palace of Twilight Switch Step
